word,count
إلى,5886
التعليق,174
رقم,236
2,99
:,3119
أكيد,80
أن,13667
للحكام,18
العرب,1889
والمسلمين,244
مسؤولية,49
يتمثل,5
أدناها,1
في,21226
استدعاء,5
السفراء,21
الصين,108
للتشاور,2
.,61469
فليتهم,1
يفعلونها,3
ولو,596
مرة,345
!,5538
ولنا,31
نحن,1323
كشعوب,8
كذلك,215
تتمثل,7
مساندة,15
إخواننا,283
بمقاطعة,8
البضائع,23
الصينية,18
وليتنا,2
نفعلها,1
ثلاثة,62
أشهر,91
ببالغ,3
الأسى,6
نعزي,5
ضحايا,49
الحادث,48
الأليم,8
الذي,3371
ذهب,72
ضحيته,4
حوالي,52
77,7
ما,4502
بين,1261
جريح,15
ومتوفي,1
وأطالب,7
من,25771
سلطات,9
بلادي,21
تطبق,27
القانون,126
بصرامة,3
،,70669
وتضرب,5
بيد,169
حديد,34
مثل,1059
هؤلاء,1139
المجرمين,247
والمتهورين,1
والمتسببين,1
هذه,3839
الحوادث,6
رحم,154
الله,8922
الضحايا,82
وأسكنهم,13
فسيح,36
جنانه,5
وألهم,11
ذويهم,17
الصبر,84
والسلوان,20
إنا,119
لله,604
وإنا,116
إليه,293
راجعون,96
للأسف,288
إن,2551
الدم,159
المهدور,1
عراقي,50
لكن,1340
بشكل,253
عام,302
لماذا,1082
الاتهام,21
قبل,1421
الإعلام,383
الغربي,87
والعربي,38
للقاعدة,16
والتطرف,19
والناس,48
المتسللة,2
دول,554
الجوار,45
فقط,1184
؟,8776
هل,1467
أصبح,327
العراقيون,29
جميعهم,13
بلا,218
دم,172
وإحساس,2
وأذنابا,1
للأمريكان,32
ولا,3451
أحد,890
يفكر,42
بالمقاومة,20
الحقيقية,91
(,2562
لا,7979
أعتقد,340
ذلك,1445
),2585
حيث,495
لا فرق,4
الاستعمار,100
والحكومة,75
الحالية,50
بما,380
أنها,536
الخادم,2
الأمين,28
والمخلص,3
لذلك,325
أليس,218
واصل,6
الثوار,323
انتصاراتهم,1
وحرروا,6
كل,4908
حقول,6
النفط,113
السورية,638
لهذا,308
السبب,171
قام,183
النظام,3146
اللبناني,78
الخائن,83
بمساعدة,46
نظام,703
الأسد,1514
بالبنزين,2
والمازوت,2
منتهكا,1
العقوبات,22
المفروضة,5
على,13593
ولكن,1981
قرروا,8
قطع,77
الطريق,133
دمشق,339
وبيروت,3
واستهداف,1
صهاريج,1
القادمة,123
لبنان,474
لخنق,3
يا,3708
حرام,111
يدعون,146
نفسهم,27
شبيحة,157
وحزب,160
بعد,1801
أرسلهم,3
عميل,84
الصهاينة,363
المستعرب,2
خامنئي,12
الجزار,19
لقتل,142
أهلهم,40
